Porto São Bento;0;0;-2,618
Porto Campanhã;240;300;0,0
Contumil;480;510;2,443
Rio Tinto;630;660;4,74928
Águas Santas;780;810;6,537
Ermesinde;960;1020;8,42885
Cabeda;1170;1200;10,4552
Suzão;1380;1410;14,3598
Valongo;1530;1560;15,9657
S. Martinho do Campo;1710;1740;18,6225
Terronhas;1920;1950;21,715
Trancoso;2070;2100;23,39
Recarei-Sobreira;2220;2250;25,3321
Parada;2400;2430;28,37
Cête;2550;25800;30,17
Irivo;2700;2730;31,941
Oleiros;2820;2850;33,054
Paredes;2970;3000;34,937
Penafiel;3150;3180;38,753
Bustelo;3330;3360;40,994
Meinedo;3510;3540;43,0528
Caíde;3780;3780;46,0772
