Start Point(km);End Point(km);Gradient(?);Elevation(m)
-2.618;-1.835;-11;94.46391693
-1.835;-1.163;-12;85.85091693
-1.163;-0.859;0;77.78691693
-0.859;-0.269;5;77.78691693
-0.269;0;0;80.73691693
0;0.568;0;80.73691693
0.568;1.182;11.5;80.73691693
1.182;2.282;15;87.79791693
2.282;2.44;0;104.2979169
2.44;2.845;-10.5;104.2979169
2.845;3.2;0;100.0454169
3.2;3.285;-14;100.0454169
3.285;3.44786;-13.386;98.85541693
3.44786;3.60234;-13.4;96.67537297
3.60234;3.73841;-12.199;94.60534097
3.73841;4.1009;0;92.94542304
4.1009;4.47289;15.579;92.94542304
4.47289;4.63311;0;98.74065525
4.63311;4.805;0.158;98.74065525
4.805;4.93396;0;98.76781387
4.93396;5.05292;13.749;98.76781387
5.05292;5.27653;15.137;100.4033949
5.27653;5.59904;14.192;103.7881795
5.59904;6.21882;0;108.3652414
6.21882;6.28419;15.261;108.3652414
6.28419;6.41399;13.174;109.362853
6.41399;6.57609;14.004;111.0728382
6.57609;6.76106;14.867;113.3428866
6.76106;6.82001;15.795;116.0928356
6.82001;6.86799;0;117.0239508
6.86799;6.95796;11.144;117.0239508
6.95796;7.06119;10.271;118.0265765
7.06119;7.29781;0;119.0868518
7.29781;7.31994;-13.291;119.0868518
7.31994;7.41441;-12.148;118.792722
7.41441;7.673;-14.947;117.6451004
7.673;7.80927;-15.337;113.7799557
7.80927;7.91288;-16.311;111.6899827
7.91288;8.429;0;110
8.429;8.86548;0;110
8.86548;8.90274;-9.372;109.6507993
8.90274;8.96266;0;109.6507993
8.96266;9.0841;-15.38;107.7830521
9.0841;9.51463;0;107.7830521
9.51463;9.62792;16.926;109.7005986
9.62792;9.86094;16.522;113.5505551
9.86094;10.09682;16.915;117.5404653
10.09682;10.35818;16.414;121.8304283
10.35818;10.47179;16.196;123.6704559
10.47179;10.92717;16.448;131.1605461
10.92717;11.1491;16.311;134.7804463
11.1491;11.33836;15.904;137.7904374
11.33836;11.45439;18.09;139.8894201
11.45439;11.75439;16.5;144.8394201
11.75439;11.88609;15.262;146.8494255
11.88609;12.20085;16.997;152.1994012
12.20085;12.26576;14.638;153.1495538
12.26576;12.31725;17.087;154.0293634
12.31725;12.40161;19.231;155.6516906
12.40161;12.6;17.178;159.059634
12.6;12.72285;16.575;161.0958727
12.72285;12.91336;17.075;164.348831
12.91336;13.03843;16.871;166.458887
13.03843;13.1;16.523;167.4762081
13.1;13.45716;0;167.4762081
13.45716;13.6343;-10.781;165.5664617
13.6343;13.88983;-11.779;162.5565739
13.88983;14.10546;-10.481;160.2965558
14.10546;14.26819;-11.246;158.4664942
14.26819;14.38919;-10.789;157.1610252
14.38919;14.516;-9.258;155.9870183
14.516;14.67973;-12.843;153.8842339
14.67973;14.79548;-13.503;152.3212616
14.79548;15.139;-12.913;147.8853879
15.139;15.48872;-13.401;143.1987901
15.48872;15.68099;-11.962;140.8988564
15.68099;16.3276;0;140.8988564
16.3276;16.7;-14.92;135.3426484
16.7;16.89458;-12.488;132.9127334
16.89458;17.03834;-11.477;131.2627998
17.03834;17.13944;-11.573;130.0927695
17.13944;17.64729;-12.838;123.5729912
17.64729;17.84975;-13.548;120.8300632
17.84975;17.96595;0;120.8300632
17.96595;18.03838;-0.929;120.7627757
18.03838;18.21822;0;120.7627757
18.21822;18.2825;16.675;121.8346447
18.2825;18.83822;0;121.8346447
18.83822;19.04624;6.009;123.0846369
19.04624;19.30067;6.933;124.8486001
19.30067;19.47548;10.133;126.6199498
19.47548;19.52452;0;126.6199498
19.52452;19.78465;15.036;130.5312645
19.78465;20.03807;16.401;134.6876059
20.03807;20.11929;15.914;135.980141
20.11929;20.64112;0;135.980141
20.64112;20.86075;14.879;139.2480157
20.86075;20.91297;17.663;140.1703776
20.91297;21.08929;14.53;142.7323072
21.08929;21.21634;15.549;144.7078077
21.21634;21.38677;15.038;147.270734
21.38677;21.55062;15.843;149.8666095
21.55062;21.62418;16.391;151.0723315
21.62418;21.95782;0;151.0723315
21.95782;22.20463;-16.972;146.8834722
22.20463;22.58641;-17.213;140.311893
22.58641;22.7296;-15.232;138.130823
22.7296;22.83616;-13.936;136.6458028
22.83616;23.02338;-14.849;133.865773
23.02338;23.21276;-15.999;130.8358824
23.21276;23.46341;-14.831;127.1184923
23.46341;23.58605;-13.78;125.4285131
23.58605;23.7778;-16.194;122.3233136
23.7778;23.95835;-16.91;119.2702131
23.95835;24.04734;-14.937;117.9409694
24.04734;24.41134;0;117.9409694
24.41134;24.59121;11.345;119.9815946
24.59121;24.73423;13.564;121.9215179
24.73423;24.81977;0;121.9215179
24.81977;25.03089;6.021;123.1926714
25.03089;25.40518;0;123.1926714
25.40518;25.54684;-1.11;123.0354288
25.54684;25.62316;0;123.0354288
25.62316;25.747;-8.356;122.0006217
25.747;26;0;122.0006217
26;26.13768;0.979;122.1354105
26.13768;26.29232;0;122.1354105
26.29232;26.35161;8.73;122.6530122
26.35161;26.67739;0;122.6530122
26.67739;26.84277;-9.341;121.1081976
26.84277;27.11223;0;121.1081976
27.11223;27.3776;6.51;122.8357563
27.3776;27.55915;6.21;123.9631818
27.55915;27.85711;0;123.9631818
27.85711;27.97199;9.37;125.0396074
27.97199;28.03589;8.13;125.5591144
28.03589;28.20164;6.63;126.6580369
28.20164;28.60734;0;126.6580369
28.60734;28.71;7.24;127.4012953
28.71;28.898;7.55;128.8206953
28.898;29.149;7;130.5776953
29.149;29.404;13.3;133.9691953
29.404;29.64;0.5;134.0871953
29.64;30.078;0.8;134.4375953
30.078;30.2044;-0.49;134.3756593
30.2044;30.30926;0.804;134.4599667
30.30926;30.47087;0;134.4599667
30.47087;30.50928;-15.34;133.8707573
30.50928;30.8542;-15.36;128.5727861
30.8542;30.92736;-15.12;127.4666069
30.92736;31.29649;0;127.4666069
31.29649;31.43541;15.273;129.5883321
31.43541;31.6753;14.757;133.1283888
31.6753;31.89326;14.59;136.3084252
31.89326;31.9896;15.378;137.7899417
31.9896;32.32643;0;137.7899417
32.32643;32.76354;-9.929;133.4498765
32.76354;33.24489;0;133.4498765
33.24489;33.30297;13.77;134.2496381
33.30297;33.5576;15.022;138.07469
33.5576;33.6738;14.281;139.7341422
33.6738;33.94404;15.453;143.9101609
33.94404;33.985;16.885;144.6017705
33.985;34.14529;0;144.6017705
34.14529;34.17412;0.808;144.6250652
34.17412;34.3036;0;144.6250652
34.3036;34.497;13.656;147.2661356
34.497;34.63912;12.571;149.0527261
34.63912;35.18959;0;149.0527261
35.18959;35.29959;12.51;150.4288261
35.29959;35.45872;13.04;152.5038813
35.45872;35.58981;0;152.5038813
35.58981;35.84218;0.482;152.6255236
35.84218;36;0;152.6255236
36;36.16382;14.184;154.9491465
36.16382;36.28999;15.059;156.8491405
36.28999;36.41625;14.335;158.6590776
36.41625;36.47084;14.207;159.4346378
36.47084;36.74316;0;159.4346378
36.74316;36.769;-13.048;159.0974774
36.769;36.85761;-14.445;157.817506
36.85761;37.086;-12.595;154.9409339
37.086;37.40202;0;154.9409339
37.40202;37.44603;11.967;155.4676016
37.44603;37.48609;0;155.4676016
37.48609;37.55643;16.072;156.5981061
37.55643;37.777;0;156.5981061
37.777;37.94295;-5.651;155.6603226
37.94295;38.26556;0;155.6603226
38.26556;38.50049;13.401;158.8086196
38.50049;39.12519;0;158.8086196
39.12519;39.3;-4.478;158.0258204
39.3;39.55309;0;158.0258204
39.55309;39.57453;12.994;158.3044117
39.57453;39.73569;15.368;160.7811186
39.73569;39.85954;14.453;162.5711227
39.85954;39.98559;15.15;164.4807802
39.98559;40.16139;14.028;166.9469026
40.16139;40.27085;15.541;168.6480204
40.27085;40.53757;15.224;172.7085657
40.53757;40.649;15.704;174.4584624
40.649;40.772;15.094;176.3150244
40.772;40.933;15.425;178.7984494
40.933;40.961;14.141;179.1943974
40.961;41.279;0;179.1943974
41.279;41.327;14.548;179.8927014
41.327;41.485;13.152;181.9707174
41.485;41.629;15.331;184.1783814
41.629;41.772;14.174;186.2052634
41.772;41.991;13.995;189.2701684
41.991;42.159;13.193;191.4865924
42.159;42.286;13.351;193.1821694
42.286;42.476;14.07;195.8554694
42.476;42.602;14.808;197.7212774
42.602;42.791;15.145;200.5836824
42.791;42.835;16.486;201.3090664
42.835;43.182;0;201.3090664
43.182;43.214;16.304;201.8307944
43.214;43.394;15.101;204.5489744
43.394;43.52;15.677;206.5242764
43.52;43.709;15.476;209.4492404
43.709;44.125;15.273;215.8028084
44.125;44.241;16.835;217.7556684
44.241;44.389;14.763;219.9405924
44.389;44.582;15.892;223.0077484
44.582;44.718;13.078;224.7863564
44.718;44.88;13.868;227.0329724
44.88;45.13;13.646;230.4444724
45.13;45.328;13.777;233.1723184
45.328;45.439;13.293;234.6478414
45.439;45.479;14.67;235.2346414
45.479;45.739;0;235.2346414
45.739;45.878;-0.933;235.1049544
45.878;46.294;0;235.1049544
46.294;46.303;-15.571;234.9648154
46.303;46.471;-15.566;232.3497274
46.471;46.573;-15.7;230.7483274
46.573;46.623;-12.6;230.1183274
46.623;46.723;-16;228.5183274
46.723;47.172;-15.067;221.7532444
47.172;47.271;-14.6;220.3078444
47.271;47.348;-14.025;219.2279194
47.348;47.559;-15.221;216.0162884
47.559;47.64;-14.299;214.8580694
47.64;48.016;-15.421;209.0597734
48.016;48.11;-13.359;207.8040274
48.11;48.426;-15.181;203.0068314
48.426;48.784;-15.808;197.3475674
48.784;48.919;-15.391;195.2697824
48.919;48.969;-13.032;194.6181824
48.969;49.42;-15.341;187.6993914
49.42;49.52;-15.147;186.1846914
49.52;49.632;-15.946;184.3987394
49.632;49.818;-14.343;181.7309414
49.818;49.893;-13.704;180.7031414
49.893;50.28;-14.929;174.9256184
50.28;50.435;-15.461;172.5291634
50.435;50.602;-13.966;170.1968414
50.602;51.975;0;170.1968414
